id,nome,categoria,indirizzo,telefono,sito,rating,recensioni,stato,lat,lng,tipo_google,score
ChIJH7z7i-E15xIRNE8_oxCIZV0,Pizzeria via XX settembre,Pizzeria,"Via XX Settembre, 66, 09125 Cagliari CA",070 876 4401,,4.8,64,OPERATIONAL,39.213259699999995,9.1187281,pizza_restaurant,100
ChIJwX7YpVjCcEARkD91BPmV-4o,Nansen,Pizzeria,"Corso Vittorio Emanuele II, 269, 09123 Cagliari CA",070 667 0335,,4.8,1248,OPERATIONAL,39.2196516,9.1087309,pizza_restaurant,100
ChIJx73S_pk15xIRPCL-K9vPSuc,Paradise Pizzeria,Pizzeria,"V. del Collegio, 2B, 09124 Cagliari CA",070 692 4240,,4.9,139,OPERATIONAL,39.214780999999995,9.114781200000001,pizza_restaurant,100
ChIJOQLV3As05xIRjbC1gYQHOo8,Pizza S' House,Pizzeria,"Via Eleonora D'Arborea, 41, 09125 Cagliari CA",070 653855,,4.8,95,OPERATIONAL,39.215495,9.1186289,pizza_restaurant,100
ChIJcV9VgMY15xIRsxzIWkqfpJA,Locanda Sa Matracca Cagliari,Pizzeria,"Via Ospedale, 20, 09123 Cagliari CA",331 801 5706,,4.6,1065,OPERATIONAL,39.2196345,9.1118905,pizza_restaurant,100
ChIJN8RcZgY05xIRIeRHnLjJvJU,Caffetteria Del Carmine,Bar,"Via Sassari, 33, 09124 Cagliari CA",070 462 9191,,4.7,796,OPERATIONAL,39.2166175,9.110360799999999,bar_and_grill,100
ChIJXeHYuQg05xIRuGosFPMvANQ,Caffetteria Tiffany,Bar,"Via Lodovico Baylle, 133, 09124 Cagliari CA",070 592 7399,,4.6,2081,OPERATIONAL,39.2166613,9.1136336,cafe,100
ChIJO1IuOwY05xIRVBac26bu5DU,Caffetteria Del Largo,Bar,"Largo Carlo Felice, 23, 09124 Cagliari CA",070 332 4138,,4.5,102,OPERATIONAL,39.2163973,9.1128492,cake_shop,100
ChIJP9iFSr015xIR71i-aYaNti8,Taddinanta Coffee & Bistrot,Bar,"Corso Vittorio Emanuele II, 248, 09123 Cagliari CA",349 214 5678,,4.8,959,OPERATIONAL,39.219389199999995,9.1091077,coffee_shop,100
ChIJDX1TXQM05xIRlDlz_Lomh1k,Caffetteria Trento,Bar,"Viale Trento, 2, 09123 Cagliari CA",070 278954,,4.5,155,OPERATIONAL,39.2221301,9.1059002,bar,100
